cook_name,main_ingredient,Serving,taking_time,Ingredients,Howtocook,Image
계란만두국,egg ,3인분,30분 이내,"물만두 15개 정도', '멸치 다시마 육수 5컵', '달걀 1개', '국간장 1숟가락', '대파 1/5개', '소금 ', '후춧가루 적당히'","멸치 다시마 육수 5컵이 필요해요.
, 
대파는 송송 썰고, 만두랑 달걀도 함께 준비합니다. 
, 
육수에 국간장(1)을 넣어 간을 하고
, 
물만두를 한데 넣어 주고 
, 
만두가 위로 동동 떠오르면 
, 
달걀물을 냄비 가장자리로 빙 둘러 넣어주고
, 
대파랑 후춧가루 적당량을 넣어주고 드셔보시고 부족한 간은 소금을 해주면 끝! 쉽죠.
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/18/f28bf56843d6e3548b5cc1fb8db55b0d1.jpg
가지찜무침,eggplant,2인분,30분 이내,"가지 3개', '간장 1숟가락', '멸치 액젓 1숟가락', '다진 마늘 0.5숟가락', '다진 대 파 2숟가락', '참기름 2숟가락', '통깨 1숟가락', '후춧가루 약간'","가지 3개를 준비해 흐르는 물에 씻어 주고
, 
반으로 길게 자르고 또 반으로 잘라 찜통에 넣기 좋은 크기로 손질해 주고 
, 
찜통에 물이 끓어오르며 김이 올라오기 시작하면 가지를 올려 4~5분간 쪄주세요. 
, 
가지가 쪄지는 동안에 양념장을 만들어 볼까요. 다진 대파(2), 간장(1), 멸치 액젓(1), 다진 마늘(0.5), 참기름(2), 통깨(1), 후춧가루 약간을 한데 넣어 고루 섞어 만들어 놓고 
, 
찐 가지는 한 김 식혀
, 
손으로 먹기 좋게 찢어 주고
, 
수분을 짜주세요. 찐 가지를 그냥 무치면 수분 때문에 양념도 잘 배어들지 않고 맛도 덜하거든요. 그리고 무쳐 놓았을 때 질퍽하기도 하니깐 수분 짜주는 거 잊지 마세요. 
, 
그리고 조물조물 무쳐내면 끝! 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/17/7105304c2ce6b090e09d112c28caebb51.jpg
매콤마요에그토스트,egg,1인분,20분 이내,"식빵 1장', '달걀 2개', '소금 2꼬집', '마요네즈 2숟가락', '고춧가루 0.5숟가락', '설탕 1숟가락', '식초 1숟가락'","소스부터 만들어 보자면 마요네즈(2), 고춧가루(0.5), 설탕(1), 식초(1)을 한데 넣어 고루 섞어 매콤마요를 만들어 두고 
, 
달걀 2개에 소금 두 꼬집을 넣어 고루 풀어 주고 
, 
달군 팬에 식용유를 두르고 달걀물을 부어 주세요. 
, 
그 위에 식빵을 올리고 계란이 어느 정도 익으면 
, 
뒤집기를 이용해 휙~뒤집어주고 
, 
계란 4면을 안쪽으로 사진처럼 접어주세요. 
, 
그리고 가운데 부분에 소스를 발라주고 
, 
반으로 접어주면 끝!
, 
매콤마요에그토스트 완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/16/3019b3d53eabab24201886e5ab6b994b1.jpg
삼겹살간장볶음,pork,2인분,60분 이내,"삼겹살 3줄', '양파 1개', '허브솔트 적당히', '버터 1숟가락', '간장 3숟가락', '다진 마늘 1숟가락', '청주 1/3컵', '맛술 1/3컵', '올리고 당 1숟가락', '생강가루 0.2숟가락', '커피가루 ', '후춧가루 약간', '통깨 0.5숟가락'","허브솔트로 밑간을 해주고
, 
에어프라이어 또는 달군 팬에 삼겹살을 앞, 뒤로 노릇하게 구워에어프라이어
, 
먹기 좋게 잘라 주고 
, 
다른 팬에 버터(1)을 녹이고
, 
양파 1개를 채 썰어 버터와 함께 볶아 주고 이어 양념 재료인
, 
청주(1/3컵), 맛술(1/3컵), 간장(3), 다진 마늘(1), 생강가루(0.2) 그리고 커피가루가 있으면 약간 넣어 함께 볶아주세요. 
, 
그리고 노릇하게 구워 놓은 삼겹살에 볶아 놓은 양파를 한데 넣어
, 
고기에 양념이 배도록 볶아가며 조려 주심 된답니다.
, 
올리고당(1), 통깨(0.5), 후춧가루 약간을 넣어 전체적으로 촉촉하게 삼겹살 간장 볶음을 완성해 주심 된답니다. 
, 
밥 적당히 담고 조려놓은 삼겹살 올려주면 완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/14/94406cd303981a58e95a61838d9315721.jpg
양념치킨,chicken,3인분,60분 이내,"닭봉 2팩', '청주 2숟가락', '허브맛소금 0.5숟가락', '간장 3숟가락', '다진 마늘 2숟가락', '청주 2숟가락', '식초 2숟가락', '올리고 당 4숟가락', '케첩 3숟가락', '참기름 ', '후춧가루 약간'","닭봉 2팩을 준비했어요.
, 
물에 씻어 준비하고 
, 
청주(2), 허브솔트(0.5)를 한데 넣어 조물조물 밑간을 해 10분간 두고 
, 
에어프라이어에 담고
, 
200도 온도에서 12분간 구워주고 에어프라이어
, 
1차로 구워 나온 닭봉은 익힘 정도를 체크해 뒤집어 주고
, 
200도에서 10분간 더 구워 마무리했어요.
, 
갖고 계신 에어프라이어마다 온도, 시간이 다르니깐 중간에 체크해 주시는 게 좋답니다
, 
이제 양념장을 만들어 볼게요.
, 
간장(3), 다진 마늘(2), 청주(2), 케첩(3), 식초(2), 올리고당(4), 참기름, 후춧가루 약간을 한데 넣어 고루 섞어주고 
, 
윤기나게 바글바글 끓여주세요. 그래야지 식초랑 케첩의 신맛이 사라진답니다. 대략 2분 정도 끓이다가
, 
구워놓은 닭봉을 한데 넣어
, 
양념이 배도록 고루 섞어 버무려주면 끝! 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/12/d129146a3c60b50a2d69b628618ce05b1.jpg
치킨카레,chicken,4인분,60분 이내,"\u200b 카레 1봉지', '감자 1개', '양파 1개', '당근 적당히', '물 3컵'","300g 치킨너겟 한 봉지를 팬 또는 에어프라이어를 이용해 구워 준비합니다. 에어프라이어
, 
그사이 카레에 넣을 감자, 양파, 당근을 썰어 준비하고 
, 
식용유 또는 버터를 두르고 양파를 먼저 넣어 달달 볶아주세요. 
, 
갈색빛이 날 때까지 계속 볶아주세요. 그래야지 풍미가 좋답니다~ 
, 
이어 감자랑 당근을 한데 넣어 감자가 투명해지면
, 
물 3컵을 붓고 보글보글 끓여주고
, 
감자가 다 익으면 
, 
카레 1봉지를 한데 넣어 고루 풀어가며 끓여 마무리해주심 된답니다.
, 
카레 만드는법은 제품 뒷면 참고해 끓여주면 되는~ 어려움 1도 없는 간단한 음식이죠. 
, 
그릇에 밥 적당히 담고 카레도 담고 그 위에 구워놓은 치킨을 올려주심 된답니다.
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/11/8e5d6819da2b20fc0014771dc861951a1.jpg
감자채볶음,potato,3인분,60분 이내,"감자 200g', '양파 1/2개', '부추 50g', '당근 약간', '식용유 2숟가락', '굴 소스 1숟가락', '간장 2숟가락', '맛술 2숟가락', '물 1/4컵', '참기름 1숟가락', '통깨 0.5숟가락', '후춧가루 약간'","감자, 양파, 당근은 채 썰고, 부추는 4~5cm 길이로 썰어 준비합니다.
, 
채 썰어 놓은 감자는 찬물에 헹궈 전분기를 씻어 내고 물기를 털어 준비합니다 
, 
달군 팬에 식용유(2)를 두르고 감자, 당근, 양파를 한데 넣어 볶아주세요. 감자가 50% 이상 투명하게 익으면 물(1/4컵)을 붓고 바닥에 재료가 달라붙지 않게 2분간 더 볶아주다가 
, 
이어 양념재료인 맛술(2), 간장(2), 굴 소스(1)을 한데 넣어 양념이 배도록 볶아주고
, 
감자다 다 익으면 부추를 넣고 참기름(1), 통깨(0.5), 후춧가루 약간을 넣어 재빠르게 볶아 마무리해 주세요. 부추 넣고 오래 볶으면 질겨지니 섞어주듯 마무리해 주세요. 잔열로 충분히 익어요. 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/07/15aacbcbc9dab14d7dbdae1d3a23cf7f1.jpg
햄치즈김밥,cheese,2인분,60분 이내,"김밥용 김 3장', '햄 5줄', '체더치즈 6장', '밥 1+1/2공기', '소금 ', '참기름 ', '통깨 적당히'","소시지는 뜨거운 물에 데쳐 자연스럽게 식혀주고
, 
넓은 볼에 밥 1공기 하고 반 공기 더 넣어 소금, 참기름, 통깨를 넣어 간을 해 주고 
, 
양념된 밥, 데친 소시지, 체더치즈, 김밥용 김 김밥 재료 너무 간단하죠.
, 
김 위에 양념한 밥으로 고루 펴 올려주고 체더치즈 2장 그리고 소시지를 올려 돌돌 말아줍니다. 
, 
같은 방법으로 3줄 말아서 먹기 좋게 썰어 주면 끝! 
, 
초간단 김밥 완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/04/9d484f59be3b6ac13b1238db8cc094fb1.jpg
고추참치볶음밥,tuna,2인분,60분 이내,"고추참치 1캔', '양파 1/4개', '밥 1공기', '모차렐라치즈 1컵', '고추장 1숟가락', '고춧가루 0.5숟가락', '설탕 0.5숟가락', '케첩 1숟가락'","양파 1/4개를 다져 주고
, 
냄비에 양념 재료인 고추장(1), 설탕(0.5), 고춧가루(0.5), 케첩(1)을 한데 넣고
, 
다져 놓은 양파, 고추참치 1캔을 붓고 
, 
고루 볶아 주고 (타지 않게 중약 불로~) 
, 
여기에 밥 1공기를 넣어 밥과 양념이 잘 섞이도록 볶아주세요. 
, 
볶아 놓은 밥은 고루 펴 주고 여기에 모차렐라 치즈를 고루 올려 덮어주고 불을 약불로 줄이고 뚜껑을 덮어 치즈를 녹여 주면 된답니다.
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/04/b2eff8d6a6ab9258b12a5153c3d07c7d1.jpg
꽈리고추돼지고기장조림,chilli,6인분 이상,90분 이내,"돼지고기 안심 1팩', '꽈리고추 15~20개', '물 3컵', '간장 9숟가락', '맛술 3숟가락', '올리고 당 1숟가락', '설탕 1숟가락', '물 4컵', '된장 0.5숟가락', '대파 흰 부분 2대', '통후추 0.3숟가락'","냄비에 물 (4컵), 대파 흰 부분 (2대), 통후추(0.3)을 한데 넣어 끓이고 
, 
물이 팔팔 끓어오르면 돼지고기를 넣어 중불에서 20분간 끓여주고 
, 
삶은 고기는 한 김 식혀 따뜻한 온기가 남았을 때 결대로 먹기 좋게 찢어주고
, 
꽈리고추는 꼭지를 따서 준비해 통으로 또는 반으로 잘라 준비하고 
, 
냄비에 물 (3컵), 간장(9), 설탕(1), 올리고당(1), 맛술(3)을 한데 넣어 주고 
, 
찢어 놓은 돼지고기를 한데 넣어 바글바글 끓여 주고 
, 
고기에 양념이 어느 정도 배어들면 꽈리고추를 넣어
, 
5분 정도 더 끓여 마무리해 주세요.
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/03/82a94e544ed7f7d261cced834c19f2be1.jpg
미트볼토마토,tomato,3인분,30분 이내,"스파게티 면 2인분', '양파 1/2개', '토마토소스 500g', '우유 400g'","양파만 채 썰어 주면 돼요
, 
동시에 조리하는 게 좋아요. 냄비에 물을 넉넉하게 붓고 소금을 넣어 스파게티 면을 삶아주고 (제품 뒷면을 참고해 삶아주세요)
, 
팬에 올리브오일을 두르고 채 썰어 놓은 양파를 달달 볶아주고 
, 
양파가 투명해지면 스파게티 소스, 미트볼을 한데 넣어 주고
, 
여기에 우유 100ml를 붓고 양념이 너무 진한 것 같아서 우유를 넣어주었어요. 요건 취향껏 응용해 주세요. 
, 
그사이 삶아진 면을 한데 넣어 볶아주고 
, 
취향껏 통 후춧가루 뿌려 마무리! 
, 
스피드하게 휘리릭 토마토 스파게티 완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/01/7acbdd89e0da9dff7d2f733e628f7f071.jpg
